Final Material,Author,Title,Year,Cited References (#),Times Cited (#),Formation Method,Anna's Notes,Si Precursor,Si Precursor Concentration (M),Additional Si Co-Precursor(s),Si Co-Precursor Concentration (M),Hybrid Aerogel Co-Precursor,Co-Precursor Concentration (M),Dopant,Dopant Concentration (M),Solvent 1,Solvent 1 Concentration (M),Solvent 2,Solvent 2 Concentration (M),Additional Solvents,Additional Solvents Concentrations (M),Acid Catalyst,Acid Catalyst Initial Concentration (M),Acid Catalyst concentration in Sol(M),Base Catalyst,Base Catalyst Initial Concentration(M),Base Catalyst concentration in Sol (M),Hydrolysis Time (hr),Modifier,Modifier Concentration (M),Modifier Solvent,Modifier Solvent (M),Surfactant,Surfactant Concentration (M),Sol 1,Sol 1 Stir rate (rpm),Sol 1 Stir Time (min),Sol 1 Standing time (hr),Sol 1 Temp (°C),pH Sol 1,Sol 2,Sol 2 Stir rate (rpm),Sol 2 Stir Time (min),Sol 2 Standing time (hr),Sol 2 Temp (°C),pH Sol 2,Sol Notes,Gelation Agent,Gelation Agent (M),pH final sol,Gelation Temp (°C),Gelation Pressure (MPa),Gelation Time (mins),Aging Conditions,Aging Temp (°C),Aging Time (hrs),Aging Conditions 2,Aging Temp 2 (°C),Aging Time 2 (hrs),Wash Solvent 1,Wash Times 1 (#),Wash Duration 1 (days),Wash Temp 1 (°C),Wash Solvent 2,Wash Times 2 (#),Wash Duration 2 (days),Wash Temp 2 (°C),Wash Solvent 3,Wash Times 3 (#),Wash Duration 3 (days),Wash Temp 3 (°C),Wash Solvent 4,Wash Times 4 (#),Wash Duration 4 (days),Wash Temp 4 (°C),Gelation/Washing Notes,Drying Method,Drying Solvent,Drying Temp 1 (°C),Drying Pressure 1 (MPa),Drying Time 1 (hrs),Drying Atmosphere 1,Drying Temp 2 (°C),Drying Pressure 2 (MPa),Drying Time 2 (hrs),Drying Atmosphere 2,Drying Temp 3 (°C),Drying Time 3 (hrs),Drying Pressure 3 (MPa),Drying Temp 4 (°C),Drying Time 4 (hrs),Drying Pressure 4 (MPa),Drying Temp 5 (°C),Drying Time 5 (hrs),Drying Pressure 5 (MPa),Drying Notes,Sintering Temp (°C),Sintering Time (min),Ramp Rate (°C/min),Sintering Atmosphere,Sintering Notes,SEM?,SEM Instrument,Why SEM?,SEM Column,Acceleration Voltage (kV),Emission Current (mA),TEM?,TEM Instrument,Why TEM?,AFM?,AFM Instrument,Why AFM?,AFM Sample PREP,N2 Adsorption-Desorption Isotherms?,N2 A-D Instrument,Why N2 A-D?,Analysis (°C),Analysis Pressure (psi),Degas (°C),Degas Time (min),Degas Gas,BET/BJH?,Why BET/BJH?,XPS?,XPS Instrument,XPS info,Why XPS?,XRD?,XRD Instrument,Radiation,Why XRD?,XRD 2θ Range (°),XRD Increment (°/step),XRD Rate (°/min),XRD Wavelength (Å),kV,mA,FT-IR?,FT-IR Instrument,Why FTIR?,Range (cm-1),Resolution                 (cm-1),Scans (#),TGA?,TGA Instrument,Why TGA?,TGA Temperature (°C),TGA Atmosphere,TGA Ramp Rate (°C/min),Density?,Density Instrument,Medium,Hardness/Compressive Strength?,Hardness Instrument,Load (N),Dwell Time (s),Electrical Conductivty?,Electrical Conductivity Instrument,Why Electrical Conductivity?,Small Angle Neutron Scattering (SANS)?,SANS Instrument,Why SANS?,SANS Wavelength (nm),SANS sample-to-detector distance (m),SANS Detector,Small-Angle X-ray Scattering (SAXS)?,SAXS Instrument,Why SAXS?,SAXS Voltage (kV),SAXS Power (W),Thermal Conductivity,Thermal Conductivity Instrument,TC Sinter Temp (°C),TC Sinter Time (hr),ICP?,ICP Instrument,Why ICP?,DLS,DLS Instrument,Why DLS?,Contact Angle,Raman,Raman Instrument,Why Raman?,Laser,Spectral Resolution (cm-1),Spectra Recorded Between (cm-1),Porosity,Porosity (%),Pore Volume (cm3/g),Average Pore Diameter (nm),Surface Area (m2/g),Bulk Density (g/cm3),Young Modulus (MPa),Thermal Conductivity (W/mK),Crystalline Phase,Nanoparticle Size (nm),Notes,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Index
P60_S0.06_cat,Bartosz Babiarczuka et al.,Novel approach of silica-PVA hybrid aerogel synthesis by simultaneous sol-gel process and phase separation,2020.0,93.0,0.0,Sol-gel,,TMOS,0.8,,,PVA,0.0043,,,MeOH,12.2,H2O,22.43,,,,,,NH4OH,,0..00699,,,,,,,,"PVA, H2O",250,"120, 180",,95,,"TMOS, MeOH, NH4OH",250,"2, 3",,60,,,,,,60,,,,Ambient,24,,,,MeOH,4,,,,,,,,,,,,,,,3-4 washes reported.,Supercritical Drying,CO2,37,9,,,,,,,,,,,,,,,,,,,,,As-dried,Yes,,,,,,Yes,,,No,,,,Yes,,,,,,,,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,Yes,,,,,,Mesoporous,,1.81,12.1,598,0.211,6.43,,Monolithic,,,,,,,,,,,0
P60_S0.06,Bartosz Babiarczuka et al.,Novel approach of silica-PVA hybrid aerogel synthesis by simultaneous sol-gel process and phase separation,2020.0,93.0,0.0,Sol-gel,,TMOS,0.8,,,PVA,0.0043,,,MeOH,12.2,H2O,22.43,,,,,,,,,,,,,,,,"PVA, H2O",250,"120, 180",,95,,"TMOS, MeOH",250,"2, 3",,60,,,,,,60,,,,Ambient,24,,,,MeOH,4,,,,,,,,,,,,,,,3-4 washes reported.,Supercritical Drying,CO2,37,9,,,,,,,,,,,,,,,,,,,,,As-dried,Yes,,,,,,Yes,,,No,,,,Yes,,,,,,,,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,Yes,,,,,,Mesoporous,,0.96,7.4,517,0.164,2.12,,Monolithic,,,,,,,,,,,1
P60_S0.1_cat,Bartosz Babiarczuka et al.,Novel approach of silica-PVA hybrid aerogel synthesis by simultaneous sol-gel process and phase separation,2020.0,93.0,0.0,Sol-gel,,TMOS,0.8,,,PVA,0.0043,,,MeOH,8.02,H2O,16.31,,,,,,NH4OH,,0.00699,,,,,,,,"PVA, H2O",250,"120, 180",,95,,"TMOS, MeOH, NH4OH",250,"2, 3",,60,,,,,,60,,,,Ambient,24,,,,MeOH,4,,,,,,,,,,,,,,,3-4 washes reported.,Supercritical Drying,CO2,37,9,,,,,,,,,,,,,,,,,,,,,As-dried,Yes,,,,,,Yes,,,No,,,,Yes,,,,,,,,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,Yes,,,,,,Mesoporous,,1.52,9.8,618,0.23,6.55,,Monolithic,,,,,,,,,,,2
P60_S0.1,Bartosz Babiarczuka et al.,Novel approach of silica-PVA hybrid aerogel synthesis by simultaneous sol-gel process and phase separation,2020.0,93.0,0.0,Sol-gel,,TMOS,0.8,,,PVA,0.0043,,,MeOH,8.02,H2O,16.31,,,,,,,,,,,,,,,,"PVA, H2O",250,"120, 180",,95,,"TMOS, MeOH",250,"2, 3",,60,,,,,,60,,,,Ambient,24,,,,MeOH,4,,,,,,,,,,,,,,,3-4 washes reported.,Supercritical Drying,CO2,37,9,,,,,,,,,,,,,,,,,,,,,As-dried,Yes,,,,,,Yes,,,No,,,,Yes,,,,,,,,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,Yes,,,,,,Mesoporous,,1.06,7.2,584,0.183,2.97,,Monolithic,,,,,,,,,,,3
P100_S0.1_cat,Bartosz Babiarczuka et al.,Novel approach of silica-PVA hybrid aerogel synthesis by simultaneous sol-gel process and phase separation,2020.0,93.0,0.0,Sol-gel,,TMOS,0.8,,,PVA,0.0071,,,MeOH,7.99,H2O,16.25,,,,,,NH4OH,,0.00696,,,,,,,,"PVA, H2O",250,"120, 180",,95,,"TMOS, MeOH, NH4OH",250,"2, 3",,60,,,,,,60,,,,Ambient,24,,,,MeOH,4,,,,,,,,,,,,,,,3-4 washes reported.,Supercritical Drying,CO2,37,9,,,,,,,,,,,,,,,,,,,,,As-dried,Yes,,,,,,Yes,,,No,,,,Yes,,,,,,,,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,Yes,,,,,,Mesoporous,,1.15,9.3,494,0.267,13.77,,Monolithic,,,,,,,,,,,4
P100_S0.1,Bartosz Babiarczuka et al.,Novel approach of silica-PVA hybrid aerogel synthesis by simultaneous sol-gel process and phase separation,2020.0,93.0,0.0,Sol-gel,,TMOS,0.8,,,PVA,0.0071,,,MeOH,7.99,H2O,16.25,,,,,,,,,,,,,,,,"PVA, H2O",250,"120, 180",,95,,"TMOS, MeOH",250,"2, 3",,60,,,,,,60,,,,Ambient,24,,,,MeOH,4,,,,,,,,,,,,,,,3-4 washes reported.,Supercritical Drying,CO2,37,9,,,,,,,,,,,,,,,,,,,,,As-dried,Yes,,,,,,Yes,,,No,,,,Yes,,,,,,,,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,Yes,,,,,,Mesoporous,,1.04,8.5,489,0.19,4.12,,Monolithic,,,,,,,,,,,5
S1- 6% TMCS,Selay SertÇok,Hydrophobic silica aerogels synthesized in ambient conditions by preserving the pore structure via two-step silylation,2020.0,34.0,0.0,Sol-gel,% are volume percents in N-hexane,TEOS,,,,,,,,EtOH,,H2O,,,,HCl,0.01,,NH4OH,10,,,TMCS,,N-hexane,,,,"TEOS, EtOH, H2O",,100,,,3,"EtOH, H2O",,10,,,7,,,,,,,3,,,24,EtOH,25,144,EtOH,1,0.29,60,N-hexane,2,4,,"TMCS, N-hexane",2,2,,N-hexane,1,2,40,"2-3 minutes gelation time, first 24 hours of aging was in gelation conditions and the next 6 days were in the specified conditions and the last 7 hours were at 60 celsius-last 7 hours were counted as a wash, modified twice after washing",Ambient Pressure Drying,,40,Ambient,Overnight,,60,Ambient,8,,80,2,Ambient,,,,,,,Dried three times with ambient pressure drying,,,,,As-dried,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,Mesoporous,80,1.83,8.2,884,0.44,,,,,,,,,,,,,,6
S2 - 10% TMCS,Selay SertÇok,Hydrophobic silica aerogels synthesized in ambient conditions by preserving the pore structure via two-step silylation,2020.0,34.0,0.0,Sol-gel,Molarities were not able to be calculated but the molar ratio of Sol 1 is 1:3:1 TEOS:EtOH:H2O and for Sol 2 it was 5:2.5 EtOH:H2O,TEOS,,,,,,,,EtOH,,H2O,,,,HCl,0.01,,NH4OH,10,,,TMCS,,N-hexane,,,,"TEOS, EtOH, H2O",,100,,,3,"EtOH, H2O",,10,,,7,,,,,,,3,,,24,EtOH,25,144,EtOH,1,0.29,60,N-hexane,2,4,,"TMCS, N-hexane",2,2,,N-hexane,1,2,40,,Ambient Pressure Drying,,40,Ambient,Overnight,,60,Ambient,8,,80,2,Ambient,,,,,,,Dried three times with ambient pressure drying,,,,,As-dried,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,Mesoporous,83,2.22,12,858,0.37,,,Monolithic,,,,,,,,,,,7
S3 - 20% TMCS,Selay SertÇok,Hydrophobic silica aerogels synthesized in ambient conditions by preserving the pore structure via two-step silylation,2020.0,34.0,0.0,Sol-gel,Molarities were not able to be calculated but the molar ratio of Sol 1 is 1:3:1 TEOS:EtOH:H2O and for Sol 2 it was 5:2.5 EtOH:H2O,TEOS,,,,,,,,EtOH,,H2O,,,,HCl,0.01,,NH4OH,10,,,TMCS,,N-hexane,,,,"TEOS, EtOH, H2O",,100,,,3,"EtOH, H2O",,10,,,7,,,,,,,3,,,24,EtOH,25,144,EtOH,1,0.29,60,N-hexane,2,4,,"TMCS, N-hexane",2,2,,N-hexane,1,2,40,,Ambient Pressure Drying,,40,Ambient,Overnight,,60,Ambient,8,,80,2,Ambient,,,,,,,Dried three times with ambient pressure drying,,,,,As-dried,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,Mesoporous,88,3.26,10,917,0.26,,,Monolithic,,,,,,,,,,,8
S4 - 6% MTMS,Selay SertÇok,Hydrophobic silica aerogels synthesized in ambient conditions by preserving the pore structure via two-step silylation,2020.0,34.0,0.0,Sol-gel,Molarities were not able to be calculated but the molar ratio of Sol 1 is 1:3:1 TEOS:EtOH:H2O and for Sol 2 it was 5:2.5 EtOH:H2O,TEOS,,,,,,,,EtOH,,H2O,,,,HCl,0.01,,NH4OH,10,,,MTMS,,N-hexane,,,,"TEOS, EtOH, H2O",,100,,,3,"EtOH, H2O",,10,,,7,,,,,,,3,,,24,EtOH,25,144,EtOH,1,0.29,60,N-hexane,2,4,,"MTMS, N-hexane",2,2,,N-hexane,1,2,40,,Ambient Pressure Drying,,40,Ambient,Overnight,,60,Ambient,8,,80,2,Ambient,,,,,,,Dried three times with ambient pressure drying,,,,,As-dried,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,Mesoporous,73,1.21,5.3,874,0.59,,,,,,,,,,,,,,9
