,Formation Method,Si Precursor,Si Precursor Concentration (M),Additional Si Co-Precursor(s),Si Co-Precursor Concentration (M),Hybrid Aerogel Co-Precursor,Co-Precursor Concentration (M),Dopant,Dopant Concentration (M),Solvent 1,Solvent 1 Concentration (M),Solvent 2,Solvent 2 Concentration (M),Additional Solvents,Acid Catalyst,Acid Catalyst Initial Concentration (M),Acid Catalyst concentration in Sol(M),Base Catalyst,Base Catalyst Initial Concentration(M),Base Catalyst concentration in Sol (M),Hydrolysis Time (hr),Modifier,Modifier Concentration (M),Modifier Solvent,Modifier Solvent (M),Molar Ratio (Modifier/Modifier Solvent),Volume % of Modifier in Solvent,Volume Ratio (Modifier/Modifier Solvent/Additional Solvents),Surfactant,Surfactant Concentration (M),Sol 1,Sol 1 Stir rate (rpm),Sol 1 Stir Time (min),Sol 1 Standing time (hr),Sol 1 Temp (°C),pH Sol 1,Sol 2,Sol 2 Stir rate (rpm),Combined Sol Stir Time (min),Combined Sol 2 Standing time (hr),Sol 2 Temp (°C),pH Sol 2,Gelation Agent,pH final sol,Gelation Temp (°C),Gelation Pressure (MPa),Gelation Time (mins),Aging Conditions,Aging Temp (°C),Aging Time (hrs),Aging Conditions 2,Aging Temp 2 (°C),Aging Time 2 (hrs),Wash Solvent 1,Wash Times 1 (#),Wash Duration 1 (days),Wash Temp 1 (°C),Wash Solvent 2,Wash Times 2 (#),Wash Duration 2 (days),Wash Temp 2 (°C),Wash Solvent 3,Wash Times 3 (#),Wash Duration 3 (days),Wash Temp 3 (°C),Wash Solvent 4,Wash Times 4 (#),Wash Duration 4 (days),Wash Temp 4 (°C),Wash Solvent 5,Wash Times 5 (#),Wash Duration 5 (days),Wash Temp 5 (°C),Drying Method,Drying Solvent,Drying Temp (°C),Drying Pressure (MPa),Drying Time (hrs),Drying Method 2,Drying Temp 2 (°C),Drying Pressure 2 (MPa),Drying Time 2 (hrs),Drying Atmosphere 2,Drying Method 3,Drying Temp 3 (°C),Drying Time 3 (hrs),Drying Atmosphere 3,Drying Pressure 3 (MPa),Drying Temp 4 (°C),Drying Time 4 (hrs),Drying Pressure 4 (MPa),Drying Temp 5 (°C),Drying Time 5 (hrs),Drying Pressure 5 (MPa),Sintering Temp (°C),Sintering Time (min),Ramp Rate (°C/min),Porosity,Porosity (%),Pore Volume (cm3/g),Average Pore Diameter (nm),Surface Area (m2/g),Bulk Density (g/cm3),Young Modulus (MPa),Thermal Conductivity (W/mK),Crystalline Phase,Average Pore Size (nm),Nanoparticle Size (nm)
0,Sol-gel,TMOS,0.8,,,PVA,0.0043,,,MeOH,12.2,H2O,22.43,,,,,NH4OH,,0..00699,,,,,,,,,,,"PVA, H2O",250,120,,95,,"TMOS, MeOH, NH4OH",250,2,,60,,,,60,,,,20,24,,,,MeOH,4,,,,,,,,,,,,,,,,,,,Supercritical Drying,CO2,37,9,,,,,,,,,,,,,,,,,,,,,Mesoporous,,1.81,12.1,598,0.211,6.43,,Monolithic,,
1,Sol-gel,TMOS,0.8,,,PVA,0.0043,,,MeOH,12.2,H2O,22.43,,,,,,,,,,,,,,,,,,"PVA, H2O",250,120,,95,,"TMOS, MeOH",250,2,,60,,,,60,,,,20,24,,,,MeOH,4,,,,,,,,,,,,,,,,,,,Supercritical Drying,CO2,37,9,,,,,,,,,,,,,,,,,,,,,Mesoporous,,0.96,7.4,517,0.164,2.12,,Monolithic,,
2,Sol-gel,TMOS,0.8,,,PVA,0.0043,,,MeOH,8.02,H2O,16.31,,,,,NH4OH,,0.00699,,,,,,,,,,,"PVA, H2O",250,120,,95,,"TMOS, MeOH, NH4OH",250,2,,60,,,,60,,,,20,24,,,,MeOH,4,,,,,,,,,,,,,,,,,,,Supercritical Drying,CO2,37,9,,,,,,,,,,,,,,,,,,,,,Mesoporous,,1.52,9.8,618,0.23,6.55,,Monolithic,,
3,Sol-gel,TMOS,0.8,,,PVA,0.0043,,,MeOH,8.02,H2O,16.31,,,,,,,,,,,,,,,,,,"PVA, H2O",250,120,,95,,"TMOS, MeOH",250,2,,60,,,,60,,,,20,24,,,,MeOH,4,,,,,,,,,,,,,,,,,,,Supercritical Drying,CO2,37,9,,,,,,,,,,,,,,,,,,,,,Mesoporous,,1.06,7.2,584,0.183,2.97,,Monolithic,,
4,Sol-gel,TMOS,0.8,,,PVA,0.0071,,,MeOH,7.99,H2O,16.25,,,,,NH4OH,,0.00696,,,,,,,,,,,"PVA, H2O",250,120,,95,,"TMOS, MeOH, NH4OH",250,2,,60,,,,60,,,,20,24,,,,MeOH,4,,,,,,,,,,,,,,,,,,,Supercritical Drying,CO2,37,9,,,,,,,,,,,,,,,,,,,,,Mesoporous,,1.15,9.3,494,0.267,13.77,,Monolithic,,
5,Sol-gel,TMOS,0.8,,,PVA,0.0071,,,MeOH,7.99,H2O,16.25,,,,,,,,,,,,,,,,,,"PVA, H2O",250,120,,95,,"TMOS, MeOH",250,2,,60,,,,60,,,,20,24,,,,MeOH,4,,,,,,,,,,,,,,,,,,,Supercritical Drying,CO2,37,9,,,,,,,,,,,,,,,,,,,,,Mesoporous,,1.04,8.5,489,0.19,4.12,,Monolithic,,
6,Sol-gel,TEOS,,,,,,,,EtOH,,H2O,,,HCl,0.01,,NH4OH,10,,,TMCS,,N-hexane,,,0.06,,,,"TEOS, EtOH, H2O",,100,,,3,"EtOH, H2O",,10,,,7,,,,,3,,,24,EtOH,25,144,EtOH,1,0.29,60,N-hexane,2,4,,"TMCS, N-hexane",2,2,,N-hexane,1,2,40,,,,,Ambient Pressure Drying,,40,0.101325,Overnight,Ambient Pressure Drying,60,0.101325,8,,Ambient Pressure Drying,80,2,,0.101325,,,,,,,,,,Mesoporous,80,1.83,8.2,884,0.44,,,,,
7,Sol-gel,TEOS,,,,,,,,EtOH,,H2O,,,HCl,0.01,,NH4OH,10,,,TMCS,,N-hexane,,,0.1,,,,"TEOS, EtOH, H2O",,100,,,3,"EtOH, H2O",,10,,,7,,,,,3,,,24,EtOH,25,144,EtOH,1,0.29,60,N-hexane,2,4,,"TMCS, N-hexane",2,2,,N-hexane,1,2,40,,,,,Ambient Pressure Drying,,40,0.101325,Overnight,Ambient Pressure Drying,60,0.101325,8,,Ambient Pressure Drying,80,2,,0.101325,,,,,,,,,,Mesoporous,83,2.22,12,858,0.37,,,Monolithic,,
8,Sol-gel,TEOS,,,,,,,,EtOH,,H2O,,,HCl,0.01,,NH4OH,10,,,TMCS,,N-hexane,,,0.2,,,,"TEOS, EtOH, H2O",,100,,,3,"EtOH, H2O",,10,,,7,,,,,3,,,24,EtOH,25,144,EtOH,1,0.29,60,N-hexane,2,4,,"TMCS, N-hexane",2,2,,N-hexane,1,2,40,,,,,Ambient Pressure Drying,,40,0.101325,Overnight,Ambient Pressure Drying,60,0.101325,8,,Ambient Pressure Drying,80,2,,0.101325,,,,,,,,,,Mesoporous,88,3.26,10,917,0.26,,,Monolithic,,
9,Sol-gel,TEOS,,,,,,,,EtOH,,H2O,,,HCl,0.01,,NH4OH,10,,,MTMS,,N-hexane,,,0.06,,,,"TEOS, EtOH, H2O",,100,,,3,"EtOH, H2O",,10,,,7,,,,,3,,,24,EtOH,25,144,EtOH,1,0.29,60,N-hexane,2,4,,"MTMS, N-hexane",2,2,,N-hexane,1,2,40,,,,,Ambient Pressure Drying,,40,0.101325,Overnight,Ambient Pressure Drying,60,0.101325,8,,Ambient Pressure Drying,80,2,,0.101325,,,,,,,,,,Mesoporous,73,1.21,5.3,874,0.59,,,,,
10,Sol-gel,TEOS,,,,,,,,EtOH,,H2O,,,HCl,0.01,,NH4OH,10,,,MTMS,,N-hexane,,,0.1,,,,"TEOS, EtOH, H2O",,100,,,3,"EtOH, H2O",,10,,,7,,,,,3,,,24,EtOH,25,144,EtOH,1,0.29,60,N-hexane,2,4,,"MTMS, N-hexane",2,2,,N-hexane,1,2,40,,,,,Ambient Pressure Drying,,40,0.101325,Overnight,Ambient Pressure Drying,60,0.101325,8,,Ambient Pressure Drying,80,2,,0.101325,,,,,,,,,,Mesoporous,77,1.49,6.6,897,0.5,,,Monolithic,,
11,Sol-gel,TEOS,,,,,,,,EtOH,,H2O,,,HCl,0.01,,NH4OH,10,,,MTMS,,N-hexane,,,0.2,,,,"TEOS, EtOH, H2O",,100,,,3,"EtOH, H2O",,10,,,7,,,,,3,,,24,EtOH,25,144,EtOH,1,0.29,60,N-hexane,2,4,,"MTMS, N-hexane",2,2,,N-hexane,1,2,40,,,,,Ambient Pressure Drying,,40,0.101325,Overnight,Ambient Pressure Drying,60,0.101325,8,,Ambient Pressure Drying,80,2,,0.101325,,,,,,,,,,Mesoporous,71,1.11,6.1,701,0.63,,,,,
12,Sol-gel,TEOS,,,,,,,,EtOH,,H2O,,,HCl,0.01,,NH4OH,10,,,MTES,,N-hexane,,,0.06,,,,"TEOS, EtOH, H2O",,100,,,3,"EtOH, H2O",,10,,,7,,,,,3,,,24,EtOH,25,144,EtOH,1,0.29,60,N-hexane,2,4,,"MTES, N-hexane",2,2,,N-hexane,1,2,40,,,,,Ambient Pressure Drying,,40,0.101325,Overnight,Ambient Pressure Drying,60,0.101325,8,,Ambient Pressure Drying,80,2,,0.101325,,,,,,,,,,Mesoporous,72,1.19,4.7,949,0.61,,,,,
13,Sol-gel,TEOS,,,,,,,,EtOH,,H2O,,,HCl,0.01,,NH4OH,10,,,MTES,,N-hexane,,,0.1,,,,"TEOS, EtOH, H2O",,100,,,3,"EtOH, H2O",,10,,,7,,,,,3,,,24,EtOH,25,144,EtOH,1,0.29,60,N-hexane,2,4,,"MTES, N-hexane",2,2,,N-hexane,1,2,40,,,,,Ambient Pressure Drying,,40,0.101325,Overnight,Ambient Pressure Drying,60,0.101325,8,,Ambient Pressure Drying,80,2,,0.101325,,,,,,,,,,Mesoporous,76,1.47,6.1,964,0.52,,,Monolithic,,
14,Sol-gel,TEOS,,,,,,,,EtOH,,H2O,,,HCl,0.01,,NH4OH,10,,,MTES,,N-hexane,,,0.2,,,,"TEOS, EtOH, H2O",,100,,,3,"EtOH, H2O",,10,,,7,,,,,3,,,24,EtOH,25,144,EtOH,1,0.29,60,N-hexane,2,4,,"MTES, N-hexane",2,2,,N-hexane,1,2,40,,,,,Ambient Pressure Drying,,40,0.101325,Overnight,Ambient Pressure Drying,60,0.101325,8,,Ambient Pressure Drying,80,2,,0.101325,,,,,,,,,,Mesoporous,75,1.35,6.5,800,0.55,,,,,
15,Sol-gel,TEOS,,,,,,,,EtOH,,H2O,,,HCl,0.01,,NH4OH,10,,,MEMO,,N-hexane,,,0.06,,,,"TEOS, EtOH, H2O",,100,,,3,"EtOH, H2O",,10,,,7,,,,,3,,,24,EtOH,25,144,EtOH,1,0.29,60,N-hexane,2,4,,"MEMO, N-hexane",2,2,,N-hexane,1,2,40,,,,,Ambient Pressure Drying,,40,0.101325,Overnight,Ambient Pressure Drying,60,0.101325,8,,Ambient Pressure Drying,80,2,,0.101325,,,,,,,,,,Mesoporous,64,0.81,4.5,671,0.79,,,Monolithic,,
16,Sol-gel,TEOS,,,,,,,,EtOH,,H2O,,,HCl,0.01,,NH4OH,10,,,MEMO,,N-hexane,,,0.1,,,,"TEOS, EtOH, H2O",,100,,,3,"EtOH, H2O",,10,,,7,,,,,3,,,24,EtOH,25,144,EtOH,1,0.29,60,N-hexane,2,4,,"MEMO, N-hexane",2,2,,N-hexane,1,2,40,,,,,Ambient Pressure Drying,,40,0.101325,Overnight,Ambient Pressure Drying,60,0.101325,8,,Ambient Pressure Drying,80,2,,0.101325,,,,,,,,,,Mesoporous,57,0.59,4.2,543,0.94,,,,,
17,Sol-gel,TEOS,,,,,,,,EtOH,,H2O,,,HCl,0.01,,NH4OH,10,,,MEMO,,N-hexane,,,0.2,,,,"TEOS, EtOH, H2O",,100,,,3,"EtOH, H2O",,10,,,7,,,,,3,,,24,EtOH,25,144,EtOH,1,0.29,60,N-hexane,2,4,,"MEMO, N-hexane",2,2,,N-hexane,1,2,40,,,,,Ambient Pressure Drying,,40,0.101325,Overnight,Ambient Pressure Drying,60,0.101325,8,,Ambient Pressure Drying,80,2,,0.101325,,,,,,,,,,Mesoporous,15,0.08,4.3,63,1.87,,,,,
